timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1495736102147,97,529 /templates/administrador/usuarios/editar-usuario.html,200,,Thread Group 1-3,text,true,,4932,516,3,3,97,0,0
1495736102244,95,86 /templates/reservas/canchas/canchaFutbolTenis.html,200,,Thread Group 1-1,text,true,,3620,477,3,3,95,0,0
1495736102244,97,531 /templates/administrador/usuarios/eliminar-usuario.html,200,,Thread Group 1-3,text,true,,2656,518,3,3,97,0,0
1495736102244,97,47 /templates/home/home-template.html,200,,Thread Group 1-2,text,true,,8130,461,3,3,97,0,0
1495736102341,93,46 /templates/footer/footer.html,200,,Thread Group 1-2,text,true,,782,456,3,3,93,0,0
1495736102340,96,89 /templates/reservas/confirmarReserva.html,200,,Thread Group 1-1,text,true,,3136,468,3,3,96,0,0
1495736102341,96,532 /templates/reservas/biblioteca/EspaciosDisponibles.html,200,,Thread Group 1-3,text,true,,2665,518,3,3,96,0,0
1495736102434,88,50 /templates/header/header.html,200,,Thread Group 1-2,text,true,,724,456,4,4,88,0,0
1495736102436,87,88 /templates/reservas/biblioteca/cubiculoVideo.html,200,,Thread Group 1-1,text,true,,3615,476,4,4,87,0,0
1495736102437,97,535 /templates/espacios/gimnasio.html,200,,Thread Group 1-3,text,true,,2563,496,4,4,97,0,0
1495736102522,82,51 /templates/login/login.html,200,,Thread Group 1-2,text,true,,1857,454,4,4,82,0,0
1495736102523,94,92 /templates/administrador/bloques/generar-bloques.html,200,,Thread Group 1-1,text,true,,3182,480,4,4,94,0,0
1495736102506,195,457 /,200,,Thread Group 1-4,text,true,,2417,492,4,4,195,0,97
1495736102534,190,534 /templates/espacios/canchas.html,200,,Thread Group 1-3,text,true,,9692,495,4,4,190,0,93
1495736102604,189,55 /templates/password/password-recovery.html,200,,Thread Group 1-2,text,true,,2293,469,4,4,189,0,93
1495736102701,101,477 /templates/calendario/calendario.html,200,,Thread Group 1-4,text,true,,1469,500,4,4,101,0,0
1495736102617,187,93 /templates/administrador/bloques/eliminar-bloques.html,200,,Thread Group 1-1,text,true,,2886,481,4,4,187,0,89
1495736102724,93,537 /templates/reservas/canchas/canchaMultiple.html,200,,Thread Group 1-3,text,true,,3613,510,4,4,93,0,0
